// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 0080021020
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Enabled, Position/Velocity Smoother Enabled, Continuous Zero Rotation Update Enabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter,SampleTimeFine,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
35331,11724514,139376230,2020,11,10,7,36,14,0,1.445720,0.207122,9.477011,0.005686,0.031198,-0.050543,1.296178,-2.403219,129.014496,31.314231250,121.238802471,15.760297,-1.769712,1.683440,-0.029550
35332,11724614,149376230,2020,11,10,7,36,14,0,1.821450,0.478531,9.538547,-0.002439,-0.002645,-0.049604,1.300276,-2.401862,128.974411,31.314231407,121.238802297,15.759963,-1.777918,1.692442,-0.030479
35333,11724714,159376230,2020,11,10,7,36,14,0,1.413486,0.446198,9.614092,0.002884,0.016078,-0.040352,1.303032,-2.393766,128.940659,31.314231564,121.238802122,15.759595,-1.785603,1.701666,-0.032510
35334,11724814,169376230,2020,11,10,7,36,14,0,1.793232,0.338566,9.489208,-0.008617,-0.016406,-0.048232,1.300777,-2.398667,128.901962,31.314231722,121.238801946,15.759196,-1.792980,1.710419,-0.033750
35335,11724914,179376230,2020,11,10,7,36,14,0,1.426099,0.175226,9.563732,-0.000848,0.013234,-0.042489,1.299938,-2.393052,128.868256,31.314231880,121.238801769,15.758843,-1.798789,1.720519,-0.036487
35336,11725014,189376230,2020,11,10,7,36,14,0,1.872995,0.404093,9.748444,-0.006880,-0.035448,-0.050470,1.301533,-2.406659,128.828995,31.314232040,121.238801592,15.758411,-1.805822,1.730256,-0.035899
35337,11725114,199376230,2020,11,10,7,36,14,0,1.197011,0.231265,9.826119,0.001723,0.026745,-0.049105,1.299284,-2.399294,128.792877,31.314232200,121.238801413,15.758012,-1.811245,1.739642,-0.036649
35338,11725214,209376230,2020,11,10,7,36,14,0,1.800308,0.499038,9.919426,-0.003862,-0.065325,-0.048733,1.301213,-2.419998,128.754089,31.314232361,121.238801234,15.757606,-1.817950,1.747075,-0.033772
35339,11725314,219376230,2020,11,10,7,36,14,0,1.506256,0.241032,9.728573,-0.004712,-0.001104,-0.046931,1.297951,-2.433460,128.718521,31.314232523,121.238801054,15.757222,-1.825273,1.757280,-0.033579
35340,11725414,229376230,2020,11,10,7,36,14,0,1.862481,0.376252,9.862497,-0.018720,-0.038926,-0.053869,1.295076,-2.448289,128.676361,31.314232685,121.238800873,15.756837,-1.832242,1.766636,-0.031187
35341,11725514,239376230,2020,11,10,7,36,14,0,1.401804,0.331625,10.049533,0.006213,0.001166,-0.053063,1.295688,-2.450639,128.641159,31.314232848,121.238800692,15.756453,-1.837985,1.776726,-0.030204
35342,11725614,249376230,2020,11,10,7,36,14,0,1.867786,0.465623,9.924479,-0.012195,-0.044890,-0.042489,1.293515,-2.470753,128.600815,31.314233012,121.238800509,15.756071,-1.846741,1.785326,-0.026054
35343,11725714,259376230,2020,11,10,7,36,14,0,1.385089,0.185435,9.923593,-0.003633,0.017449,-0.051558,1.288904,-2.466388,128.563080,31.314233177,121.238800326,15.755751,-1.852403,1.794813,-0.024744
35344,11725814,269376230,2020,11,10,7,36,14,0,1.850980,0.651708,10.019339,-0.016032,-0.028941,-0.053902,1.288354,-2.475843,128.522446,31.314233343,121.238800142,15.755473,-1.860937,1.802850,-0.020975
35345,11725914,279376230,2020,11,10,7,36,14,0,1.502627,0.437342,9.901425,0.003750,0.025801,-0.054240,1.285259,-2.472572,128.484390,31.314233509,121.238799956,15.755150,-1.868174,1.812087,-0.020051
35346,11726014,289376230,2020,11,10,7,36,14,0,1.826261,0.378103,9.934003,-0.016397,-0.012279,-0.046395,1.278411,-2.470454,128.444839,31.314233676,121.238799770,15.754902,-1.876497,1.820850,-0.016534
35347,11726114,299376230,2020,11,10,7,36,14,0,1.568757,0.296925,10.065495,-0.014164,0.030208,-0.053987,1.274143,-2.459635,128.407181,31.314233843,121.238799583,15.754698,-1.883476,1.830579,-0.014008
35348,11726214,309376230,2020,11,10,7,36,14,0,1.797439,0.385318,9.937175,-0.015366,-0.017537,-0.055234,1.269171,-2.460861,128.365616,31.314234012,121.238799396,15.754471,-1.891181,1.839853,-0.010635
35349,11726314,319376230,2020,11,10,7,36,14,0,1.579779,0.391001,9.922118,0.004787,0.024099,-0.052945,1.268414,-2.454123,128.327789,31.314234181,121.238799207,15.754239,-1.897523,1.850143,-0.010062
35350,11726414,329376230,2020,11,10,7,36,14,0,2.018002,0.559644,9.714993,-0.010706,-0.029902,-0.057065,1.266992,-2.463067,128.285919,31.314234352,121.238799017,15.754010,-1.907452,1.859521,-0.007748
35351,11726514,339376230,2020,11,10,7,36,14,0,1.475167,0.159522,9.755811,-0.006875,0.040246,-0.050949,1.260913,-2.450012,128.250320,31.314234523,121.238798826,15.753797,-1.914898,1.869913,-0.008784
35352,11726614,349376230,2020,11,10,7,36,14,0,2.021288,0.566639,9.900764,-0.020020,-0.033322,-0.044096,1.259068,-2.456205,128.211136,31.314234694,121.238798635,15.753647,-1.924326,1.879533,-0.005813
35353,11725617,249682230,2020,11,10,7,36,14,0,,,,,,,,,,,,,,,
35354,11725617,249682136,2020,11,10,7,36,14,0,,,,,,,,,,,,,,,
35355,11726714,359376136,2020,11,10,7,36,14,0,1.281364,-0.139179,9.627088,-0.003815,0.040101,-0.053994,1.250626,-2.445577,128.174957,31.314234867,121.238798442,15.753492,-1.928766,1.891040,-0.007500
35356,11726814,369376136,2020,11,10,7,36,14,0,2.039238,0.273509,9.651568,-0.005050,-0.046857,-0.055750,1.251206,-2.455787,128.126785,31.314235173,121.238798102,15.753287,-1.936443,1.909443,-0.007349
35357,11726914,379376136,2020,11,10,7,36,14,0,1.559890,0.255142,9.563210,-0.001781,0.036857,-0.056423,1.250798,-2.449916,128.084564,31.314235355,121.238797911,15.753125,-1.943505,1.922584,-0.009590
35358,11727014,389376136,2020,11,10,7,36,14,0,1.766781,0.573987,9.672573,-0.014564,-0.004195,-0.051430,1.249512,-2.443814,128.038544,31.314235538,121.238797720,15.752967,-1.952407,1.931824,-0.009496
35359,11727114,399376136,2020,11,10,7,36,14,0,1.496902,0.447852,9.803638,-0.005852,0.013518,-0.052674,1.246403,-2.433701,127.996941,31.314235721,121.238797527,15.752778,-1.959382,1.942304,-0.010405
35360,11727214,409376136,2020,11,10,7,36,14,0,1.889708,0.108993,9.331113,-0.017202,-0.014935,-0.047049,1.238729,-2.446628,127.953407,31.314235905,121.238797334,15.752598,-1.967177,1.954339,-0.011750
35361,11727314,419376136,2020,11,10,7,36,14,0,1.525853,0.113399,9.723597,0.000191,0.020031,-0.056972,1.236049,-2.429975,127.909081,31.314236091,121.238797140,15.752409,-1.971110,1.967168,-0.014214
35362,11727414,429376136,2020,11,10,7,36,14,0,1.911651,0.156239,9.552484,-0.015010,-0.025181,-0.045834,1.232458,-2.443841,127.864410,31.314236277,121.238796945,15.752219,-1.978516,1.979926,-0.014313
35363,11727514,439376136,2020,11,10,7,36,14,0,1.509466,0.539153,9.725685,-0.002998,0.010083,-0.055411,1.233458,-2.438559,127.819916,31.314236464,121.238796749,15.752061,-1.985042,1.991061,-0.015577
35364,11727614,449376136,2020,11,10,7,36,14,0,1.703072,0.376792,9.429963,-0.004819,-0.027202,-0.047977,1.229376,-2.450233,127.776283,31.314236652,121.238796553,15.751842,-1.992834,2.000833,-0.017426
35365,11727714,459376136,2020,11,10,7,36,14,0,1.909084,0.370840,9.533489,-0.016873,-0.025758,-0.050128,1.223203,-2.461563,127.733719,31.314236840,121.238796355,15.751607,-2.001071,2.012441,-0.019147
35366,11727814,469376136,2020,11,10,7,36,14,0,1.558732,0.100924,9.599597,-0.025877,0.018480,-0.043547,1.213277,-2.462763,127.694176,31.314237030,121.238796157,15.751357,-2.008298,2.024680,-0.020978
35367,11727914,479376136,2020,11,10,7,36,14,0,1.592098,0.351876,9.801733,-0.006482,-0.034349,-0.050484,1.208232,-2.464619,127.650581,31.314237221,121.238795958,15.751109,-2.012153,2.035352,-0.021096
35368,11728014,489376136,2020,11,10,7,36,14,0,1.790606,-0.005250,9.673460,0.001078,-0.025049,-0.046290,1.203706,-2.487221,127.610817,31.314237412,121.238795758,15.750867,-2.018116,2.048159,-0.021660
35369,11728114,499376136,2020,11,10,7,36,14,0,1.790272,0.315796,9.712709,-0.032163,-0.007927,-0.048915,1.197064,-2.491393,127.564659,31.314237605,121.238795557,15.750621,-2.026032,2.059423,-0.020306
35370,11728214,509376136,2020,11,10,7,36,14,0,1.535596,0.466169,9.940063,0.006884,-0.013506,-0.051872,1.197392,-2.495959,127.522163,31.314237798,121.238795356,15.750323,-2.030977,2.070456,-0.020910
35371,11728314,519376136,2020,11,10,7,36,14,0,1.825487,0.383098,9.606987,-0.015415,-0.033274,-0.051391,1.191181,-2.513031,127.480072,31.314237992,121.238795153,15.750071,-2.038932,2.080669,-0.020344
35372,11728414,529376136,2020,11,10,7,36,14,0,1.813236,0.182811,9.875584,-0.013539,0.009174,-0.045681,1.184350,-2.515898,127.438492,31.314238187,121.238794950,15.749843,-2.047013,2.093078,-0.019859
35373,11728514,539376136,2020,11,10,7,36,14,0,1.722109,0.283374,10.026882,-0.018923,-0.003543,-0.041410,1.177821,-2.515161,127.395668,31.314238383,121.238794746,15.749597,-2.053906,2.104738,-0.017291
35374,11728614,549376136,2020,11,10,7,36,14,0,1.376402,0.186706,9.982712,-0.003836,-0.005467,-0.062694,1.173517,-2.513877,127.353622,31.314238580,121.238794541,15.749438,-2.057226,2.115565,-0.015121
35375,11728714,559376136,2020,11,10,7,36,14,0,2.071943,0.222065,9.540598,-0.000113,-0.042781,-0.051546,1.169941,-2.534545,127.304794,31.314238777,121.238794336,15.749269,-2.064212,2.127851,-0.014708
35376,11728814,569376136,2020,11,10,7,36,14,0,1.637158,0.803232,9.890802,-0.022092,0.025801,-0.057571,1.169524,-2.530023,127.259895,31.314238976,121.238794129,15.749053,-2.074498,2.138196,-0.014265
35377,11728914,579376136,2020,11,10,7,36,14,0,1.735562,0.680045,9.849818,-0.015736,0.012169,-0.051649,1.159044,-2.523904,127.214706,31.314239175,121.238793922,15.748908,-2.084083,2.147084,-0.013893
35378,11729014,589376136,2020,11,10,7,36,14,0,1.618769,0.430489,10.174134,-0.025034,-0.005767,-0.045553,1.147028,-2.517570,127.173248,31.314239375,121.238793713,15.748768,-2.092158,2.156681,-0.009569
35379,11729114,599376136,2020,11,10,7,36,14,0,1.812990,-0.238703,9.840693,-0.029470,-0.008924,-0.044516,1.130504,-2.529093,127.132843,31.314239576,121.238793503,15.748641,-2.098126,2.169141,-0.007003
35380,11728117,499682136,2020,11,10,7,36,14,0,,,,,,,,,,,,,,,
35381,11728117,499682043,2020,11,10,7,36,14,0,,,,,,,,,,,,,,,
35382,11729214,609376043,2020,11,10,7,36,14,0,1.676347,0.043881,9.798797,-0.018819,-0.004253,-0.055918,1.123555,-2.525646,127.084221,31.314239778,121.238793293,15.748471,-2.101485,2.182437,-0.006418
